Column,pk,name,equipment,teaching,typeAccessibility,contentURL,locality,province,postalCode,neighborhood,district,coordX,coordY,phone,fax,email,titularity,laborDay,schedule,extraUses,otherUses,yardCategory,yardNumber,accessibilityComment,directAccess,otherAccess,wcAccessibles,shade,furniture,services,surface,conservationState,greenZonesProximity,facilitiesProximity,observations,bus,renfe,metro,address
125,5203,Colegio público juan de la cierva,"Comedor, horario ampliado, planes de mejora, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e081a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28041,Los Rosales,Villaverde,441368,4467326,917 965 560 - 917 230 235,917 965 560,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-21:00,"Federación balonmano, federación futbol, federación judo, escuela baloncesto",Iii,3,Si,Si,Principal del centro,Si (en gimnasio),"Techado muy pequeño, arbolado","Porterías, canastas","Alumbrado, fuente","4509,95",Regular (necesita arreglos superficiales),Nan,Nan,Nan,"22 , 59 , 79 , 85 , 123 , 130",Nan, villaverde bajo cruce,Calle villarrosa 7
126,5204,Colegio público juan gris,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=3691a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28031,Casco H.Vallecas,Villa De Vallecas,447591,4469300,913 327 264,913 327 263,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,Uso en fin de semana por asociaciones del barrio,Ii,2,Si,Si,-,Si (un patio),Dos espacios techados,"Canastas, porterías, bancos, parque",Alumbrado,"2621,5",Bueno,-,-,Nan,"58 , 142 , 54",Nan, congosto,Calle muela de san juan 31
127,5205,Colegio público juan ramón jiménez,"Horario ampliado, comedor",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=8ba1a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28039,Valdeacederas,Tetuan,440380,4479417,915 717 512,914 250 976,Nan,Ayuntamiento,Lunes-viernes continua,9:00-14:00,-,-,Ii,1,Si,Si,-,Si,Arbolado,"Canastas, porterías, juegos",Fuente,"583,85",Bueno,"Parque villaamil (300m), plaza remonta (800m)","Cdm playa victoria (550m), centro sociocultural tetuan (750m)",Parcela con proyecto de huerto comunitario anexa. ," 66 , 124",Nan,Tetuán,Calle marques de viana 58
128,5206,Colegio público juan sebastián elcano,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=d0c1a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28026,Moscardo,Usera,440185,4471177,914 765 139,914 768 107,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,-,-,I,1,Si,Si,-,Si,Porche,-,No,"2559,86",-,Nan,Nan,Nan," 6 , 23 , 47",Nan,Usera,Calle mirasierra 29
129,5207,Colegio público juan zaragüeta,"Transporte, horario ampliado, comedor, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=26d1a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28033,Valdefuentes,Hortaleza,446510,4480350,917 630 869 - 913 821 057,917 630 869,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,-,Iii,1,Si,Si (c/ tomás redondo),-,No,Si (80m²),Porterías y canastas ,No,"3929,51",Mejorable (suelos en mal estado),Nan,Nan,Nan," 72 , 87",Nan,San lorenzo,Calle via de los poblados 19
130,5208,Colegio público julián besteiro,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7be1a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28025,Abrantes,Carabanchel,438306,4470466,915 600 091,915 655 204,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-19:30,"Centro abierto (apoyo, merienda para servicios sociales)",Iii,"2, paso directo. no pasar sin edificio uno",Si,Si (av. abrantes),-,No ,Porche en los 2 y en uno una pérgola. 1 árbol,"Porterías, canastas, columpios",Alumbrado ,"1338,72","Muy bueno, obra reciente",Si,Club de futbol privados,Nan," 47 , 108 , 118",Nan,Abrantes,Avenida abrantes 79
131,176859,Colegio público julián marías,"Horario ampliado, comedor",Enseñanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=fe444b6faa61c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28022,Rosas,San Blas-Canillejas,448887,4475342,917 609 323,917 609 319,Nan,Ayuntamiento,Lunes-viernes continua,Continua ahora9:00-16:00,Actividades extraescolares 16:00-18:00,"Extraescolares, hasta las 18.00",Iii,4,Si,Si,"3 accesos, independientes al edificio.",No,"Porche, infantil 150 m², entrada 150 m², otro de 100 m²","Patio 2: 2 porterias futbol y 2 canastas, patio 3, 2 porterias y 4 canastas",Fuente,"1720,52 + 1406,97",Nan,"Si, un parque ","Si, canchas municipales, 200 m polideportivo",Nan," 38 , 140",Nan,Nan,Calle budapest 11
132,5153,Colegio público la alameda,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=c002a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28022,Canillejas,San Blas-Canillejas,448400,4476500,917 411 453,913 204 540,Nan,Ayuntamiento,Lunes-viernes continua,9:00-15:30,Actividades extraescolares 15:30-16:30,Centro de día cruz roja 15:30-17:30,Iii,2,Si (patio primaria),"Si (patio primaria, c/ musas)",C/ pitágoras,No,Si,"Porterías, canastas",Alumbrado,"951,436",Regular (necesita reformas),Nan,Nan,Nan," 38 , 48 , 140",Nan,Nan,Calle musas 9
133,6023,Colegio público la dehesa del príncipe,"Comedor, horario ampliado, planes de mejora",Enseñanza: educacion infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a1b4ae10c471c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28024,Campamento,Latina,443032,4474162,915 091 679,915 090 044,Nan,Comunidad,Lunes-viernes continua,9:00-16:00,Nan,-,Iii,1,-,Si,-,No,No,-,No,"2541,7",-,Nan,Nan,Separación por la carretera del resto de barrios. ,139, cuatro vientos,Cuatro vientos,Paseo lanceros 4
134,5210,Colegio público la latina,"Comedor, horario ampliado, planes de mejora, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=1612a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28024,Aluche,Latina,435434,4471408,915 099 915,917 196 252,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Ii,3,Si,Si,-,Si,Porche ,"Canastas, porterías, parque infantil, arenero",No,"2783,33",-,Nan,Nan,Nan,"17 , 121 , 131 , h", aluche,Aluche,Calle maqueda 130
135,5294,Colegio público la rioja,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=6b22a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28038,Palomeras Sureste,Puente De Vallecas,445935,4471034,917 773 912,917 773 912,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Nan,Ii,3,Si (pero en mal estado),Si (c/ león felipe),Nan,Sí,"2 porches pequeños, arbolado, pendientes de poner toldos","Porterías, canastas, bancos en mal estado",Fuentes,"1447,57",Necesita reforma,Parque lineal de palomeras (180m),"Centro cultural palomeras (700m), bibliotega miguel hernandez (750m)",Nan," 54 , 58 , 103 , 142 , 143 , 144",Nan,Miguel hernández,Calle leon felipe 3
136,5211,Colegio público legado crespo,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=b042a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28005,Acacias,Arganzuela,440271,4472927,915 286 325,915 286 325,Cp.legadocrespo.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,"Actividades ampa 16:00-17:00h, cruz roja 14:00-20:00",-,Iii,1,Si,Si,-,No,No,"Porterías, canastas, columpios",Alumbrado,"1142,42",Bueno (arreglado recientemente),"Parque casino de la reina (260m), parque redondo (400m)","Biblioteca etsi (350m), casa encendida (400m), biblioteca pedro salinas (850m)",Nan,"27 , 34 , 36 , 60 , 69 , 78 , 116 , 118 , 119", embajadores,Embajadores,Paseo acacias 2
137,5212,Colegio público leopoldo alas,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=0652a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28017,Ventas,Ciudad Lineal,444573,4475495,914 033 755,914 042 281,Cp.leopoldoalas.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes,9:00-16:00,-,-,Iii,2,-,Si,-,No,No,-,No,"2440,662",-,-,"Instalacion deportiva (400m), centro sociocultural ciudad lineal (500m), biblioteca la elipa (800m)",Nan," 15 , 28 , 106 , 110 , 210",Nan,Nan,Calle pedrezuela 18
138,4974266,Colegio público leopoldo calvo sotelo,"Horario ampliado, comedor",Enseñanza: educacion infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7205ffc4131ab110vgnvcm2000000c205a0arcrd,Madrid,Madrid,28050,Valverde,Fuencarral-El Pardo,442794,4483567,914 273 351,914 273 083,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-18:00,Patios abiertos sábados 9:00-14:00,I,2,Si,Si (av. de santiago),-,Si (en gimnasio),Poca,"Porterías, canastas, columpios, bancos",Fuentes,"1556,12",Regular (necesita arreglo en pista),Nan,Nan,Participa actualmente de 'patios abiertos'," 172, 176",Nan,Nan,Calle castiello de jaca 2
139,5213,Colegio público lepanto,"Comedor, horario ampliado",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=5b62a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28035,Valdezarza,Moncloa-Aravaca,438875,4480001,913 160 937,913 738 204,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,3,Si (a patios delanteros),Si (c/ valderrey),-,No,No,"Porterías, canastas",No,"3311,38",Nan,Bueno,Parque luisa carnés (400m),"Centro cultural antonio machado (300m), cdm ciudad de los poetas (400m)"," 42 , 127 , 132",Nan,Antonio machado,Calle valderrey 9
140,5214,Colegio público lope de vega,"Comedor, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=a082a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28019,San Isidro,Carabanchel,438622,4471811,914 710 955,914 710 955,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,-,Ii,2,Si,Si,-,Si,No,"Porterías, canastas, columpios, canchas de vóley",Alumbrado débil,"2668,3 + 1861,05",Mejorable,Nan,Nan,Nan," 34 , 35 , 118 , 119",Nan,Urgel,Calle inglaterra 8
141,5215,Colegio público lorenzo luzuriaga,"Transporte, comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=f592a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28034,La Paz,Fuencarral-El Pardo,440538,4482010,917 305 938,917 314 362,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares7:30-9:00-16:00-17:00,Torneos deportivos desarrollados por el centro,Iii,3,Solo 1 patio accesible a personas con movilidad reducida,No,-,"Sí, aseos cercanos a uno de los patios en el edificio de gimnasio","Poca, solo en un patio y muy reducida","Porterias , canastas( 1 zona) y columpios (1 zona",Alumbrado en 1 patio,"1431,13 + 1179,40",Buena,Si,Si,Varios patios con pistas deportivas a diferentes niveles. ," 49 , 67 , 83 , 124 , 133 , 134",Nan,Herrera oria,Calle valencia de don juan 13
142,64457,Colegio público los almendros,"Comedor, horario ampliado",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=c897598d1351c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28032,Casco H.Vicalvaro,Vicalvaro,446895,4471931,917 510 982,917 726 814,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,1,Si,Si (c/ copérnico),C/ arquímedes,No,"Porche, arbolado","Porterías, canastas, columpios","Alumbrado, fuentes","5535,1",Mejorable,Parque valdebernardo (80m),"Biblioteca francisco ayala (750m), cdm moratalaz (950m), cdm faustina valladolid (950m)",Nan," 8 , 71 , 130",Nan,Valdebernardo,Calle ladera de los almendros 45
143,5296,Colegio público los rosales,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=4ba2a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28021,Butarque,Villaverde,442439,4467021,917 956 756,917 956 756,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,2,No,Si,-,No,No,"Porterías, canastas",No,"8289,79",Bueno,Nan,Nan,Nan," 85 , 123 , 713",Nan,Nan,Avenida los rosales 131
144,4974277,Colegio público loyola de palacio,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil de segundo ciclo - primaria. enseñanza biling&amp;uuml;e,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=4c96ffc4131ab110vgnvcm2000000c205a0arcrd,Madrid,Madrid,28051,Casco H.Vallecas,Villa De Vallecas,449186,4467958,913 326 020 - 913 851 330,913 326 020,Cp.loyoladepalacio.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,-,Iii,2,Si,Si (c/ embalse de manzanares y c/ antonio gades),-,No,Espacios techados,"Porterías, canastas, columpios",No,"2680,78 + 2030,84",Bueno,Parque (170m),-,Nan," 142, 145",Nan,Las suertes,Calle embalse de navacerrada 60
145,5216,Colegio público luis bello,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e -,1,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=90c2a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28002,Prosperidad,Chamartin,442881,4477221,912 205 533,912 205 535,Nan,Ayuntamiento,Lunes-viernes,8:00-17:00,Actividades extraescolares 16:00-17:00,No,I,2,Si ,Si (c/ canillas),-,Si,Si (pequeño),"Porterías, tobogán, canastas, bancos, huerto con macetas. ",Alumbrado (un solo patio),"1218,38",Bueno,"Plaza de la prosperidad (120m), jardines pablo sorozábal (650m), parque berlín (750m)","Centro sociocultural luis gonzaga (550m), biblioteca francisco ibáñez (650m), polideportivo pradillo (850m), cdm moscardó (850m)",Nan," 1 , 9 , 73",Nan,Prosperidad,Calle luis cabrera 66
146,5217,Colegio público luis cernuda,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=e5d2a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28043,Canillas,Hortaleza,444554,4479166,913 002 732,913 002 732,Cp.luiscernuda.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,I,1,Si,Si (c/ carril del conde),-,Si,Si,"Porterías, canastas, bancos, tobogán","Alumbrado, fuente","1114,89",Bueno,Nan,Nan,Nan," 9, 72, 73 ,120 ,122",Nan,"Esperanza, arturo soria",Calle carril del conde 64
147,5218,Colegio público luis de góngora,Comedor,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=3be2a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28029,El Pilar,Fuencarral-El Pardo,439443,4480681,91 386 08 16,Nan,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Asociación valdeperales  16:00-17:30,Patios abiertos sábados 9:00-14:00,I,2,Si,Si (c/ sarria),-,Si,Porche (20m²),"Porterías, canastas, columpios, gradas","Alumbrado, fuente",1068,Regular (necesita pintura y algunos arreglos),Nan,Nan,"Dos patios amplios separados, con entradas desde calle. participa actualmente de 'patios abiertos'"," 42 , 126 , 132 , 137 , 147",Nan,Peñagrande,Calle sarria 49
148,42017,Colegio público madrid sur,Comedor,Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=cfa7598d1351c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28018,Palomeras Bajas,Puente De Vallecas,444368,4469762,91 785 55 39,Nan,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Ii,1,Si,Si (c/ sabrina),-,Sí,Toldo (6x7m),"Porterías, canastas, mesas",Alumbrado,"4977,57",Regular (material deteriorado),"Parque lineal de palomeras (280m), plaza del cine (300m)","Instalaciones deportivas palomeras (250m), centro cultural paco rabal (700m)",Nan,102 * 136 * 310 * 410, el pozo,Nan,Calle puerto de balbaran 133
149,5792191,Colegio público maestro padilla,"Horario ampliado, comedor",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=8b5800444dcca210vgnvcm2000000c205a0arcrd,Madrid,Madrid,28054,Buenavista,Carabanchel,436566,4468283,911 731 852 - 699 502 387,911 724 720,Cp.maestropadilla.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,3,Si,Si (av. de la peseta),C/ once vigas,No,"Porche, arbolado en mal estado","Porterías, canastas",No,"4957,68",Aceptable,Nan,Polideportivo francisco fdz ochoa,Nan," 35, 118, 155",Nan,Nan,Avenida peseta 112
150,5221,Colegio público manuel bartolomé cossío,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=8003a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28044,Las Aguilas,Latina,434494,4470372,917 067 408 (infantil) / 917 064 098 (primaria),917 064 098,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,1,Si,Si,-,No,Si (en infantil),"Canastas, porterías",Fuente,"1001,54",-,Nan,Nan,"Dos edificios, un patio en cada uno","17 , 139", fanjul,Nan,Calle jose de cadalso 19
151,5222,Colegio público manuel de falla,"Transporte, comedor",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=d513a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28021,San Andres,Villaverde,440084,4466428,917 971 448,917 971 448,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,-,Iii,2,Si,Si (c/ jose ortuño ponce),Principal del centro,No,Porche,"Porterías, canastas, arenero","Alumbrado, fuente","441,41",Bueno,Nan,Nan,Nan,"22 , 76 , 86 , 130 , 131", puente alcocer,Nan,Calle jose ortu&amp;ntilde;o ponce 2
152,5223,Colegio público manuel núñez de arenas,"Comedor, transporte, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=2b23a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28053,Entrevias,Puente De Vallecas,443825,4469619,917 855 972 - 917 855 923,917 860 204,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-19:00, actividades extraescolares del afa. cesión a entidades y agrupación deportiva,Ii,2,Si,Si (c/ martos y c/ villacarrillo),Nan,Sí,"Cubierta entrada (300m²), porche (200m²), arbolado","Porterías, canastas, juegos",Alumbrado (pista deportiva),"3074,54",Mejorable (elementos deteriorados),Parque forestal de entrevías (250m),"Cdm alberto garcia (240m), centro cultural el pozo del tío raimundo (290m)",Nan," 24 , 102",Nan,Nan,Calle martos 120
153,5224,Colegio público manuel sáinz de vicuña,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e -,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=7043a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28030,Marroquina,Moratalaz,444851,4473405,914 391 349,913 285 625,Nan,Ayuntamiento,Lunes-viernes partida,9:00-16:00,Actividades extraescolares 16:00-17:00,Entrenamientos deportivos 18:00-21:00,Iii,3,Si (un patio),Si (c/ camino de vinateros),C/ arroyo de las pilillas,No,Arbolado,Porches (2x20m²),Alumbrado,"2027,15",Regular (pavimentos levantados),Parque moratalaz (300m),Biblioteca miguel delibes (300m),Nan," 32 , 71",Nan,Vinateros,Calle camino de los vinateros 104
154,5226,Colegio público marcelo usera,"Comedor, horario ampliado, planes de mejora, integración preferente (trastornos generales del desarrollo)",Enseñanza: educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=1b63a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28026,Almendrales,Usera,440620,4470964,914 753 495,917 923 840,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-17:00,Centro de día cruz roja 15:30-20:00,Ii,1,Si,Si (c/ felipe díaz),-,Si,No,No,No,"590,42",Mejorable,Nan,Nan,Nan," 6 , 18 , 22 , 47 , 59 , 76 , 78 , 79 , 85 , 86 , 247",Nan,Usera,Calle perales de tajuña 1
155,7048498,Colegio público margaret thatcher,Nan,Enseñanzas: segundo ciclo de educación infantil - primaria,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=8c8b39efd6cef310vgnvcm1000000b205a0arcrd,Madrid,Madrid,28042,Timon,Barajas,449945,4480145,913 056 086,913 055 404,Cp.margaretthatcher.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes partida,9:00-14:00,Actividades extraescolares,-,Iii,2,No (técnico dice si pero no garantizable),No (técnico dice si),-,No,No,Porterías,No,"2149,47966",-,Parque urbano de barajas (300m),Instalación deportiva básica (500m),Nan," 105, 151",Nan,Nan,Glorieta playa de san lorenzo 4
156,11121459,Colegio público maría de villota,Nan,Enseñanza: educacion infantil - primaria - enseñanza biling&amp;uuml;e  centro de nueva creación. su ubicación es provisional.,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=870757e08c800710vgnvcm1000001d4a900arcrd,Madrid,Madrid,28031,Santa Eugenia,Villa De Vallecas,447785,4470378,913 053 429 / 618 487 068,Nan,Cp.mariadevillota.madrid@educa.madrid.org,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-20:00,-,Iii,2,Si,Si,-,Si,Porche (100m²),"Porterías, canastas, juegos",Alumbrado,"2722,77",Bueno,Parque vasares (230m),"Instalaciones deportivas la unión (150m), biblioteca luis martin santos (190m), centro cultural pilar miro (240m)",Nan, 58,Nan,Villa de vallecas,Calle enrique garcia alvarez 11
157,5209,Colegio público maría moliner,"Comedor, horario ampliado, planes de mejora",Enseñanza: educación infantil - primaria - enseñanza biling&amp;uuml;e,0,Http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410vgnvcm100000171f5a0arcrd&vgnextoid=6083a3f5ca71c010vgnvcm1000000b205a0arcrd,Madrid,Madrid,28037,Arcos,San Blas-Canillejas,447480,4474801,913 133 969,913 069 463,Nan,Ayuntamiento,Lunes-viernes continua,9:00-16:00,Actividades extraescolares 16:00-18:00,Nan,Iii,2,No (escaleras),Si,Nan,No,No,"Canastas, porterías","Alumbrado, fuente","5349,95",Mejorable,Nan,Nan,Nan,"4 , 38, 48 , 106, 140",Nan," simancas, san blas",Calle arcos de jalon 34
